Horario;Conta;Instrumento;Lado;Qtd Ordem;Qtd Execucao Atual;Qtd Executada Acumulada;Preco Executado;Notional Ordem;Notional Exec Atual;Notional Exec Acumulada;Entering Trader
2025-06-29T16:20:57.331066100;ACC005;RENT3;1;4480;4480;4480;10.40;46592.00;46592.00;46592.00;TRADER937
2025-06-29T16:20:57.331066100;ACC009;ITUB4;2;8866;8866;8866;28.59;253478.94;253478.94;253478.94;TRADER640
2025-06-29T16:20:57.331066100;ACC006;SUZB3;2;7348;7348;7348;25.54;187667.92;187667.92;187667.92;TRADER369
2025-06-29T16:20:57.331066100;ACC009;WEGE3;2;9596;9596;9596;27.27;261682.92;261682.92;261682.92;TRADER371
2025-06-29T16:20:57.331066100;ACC006;WEGE3;2;2392;2392;2392;16.21;38774.32;38774.32;38774.32;TRADER411
2025-06-29T16:20:57.331066100;ACC010;RADL3;1;7174;7174;7174;13.58;97422.92;97422.92;97422.92;TRADER430
2025-06-29T16:20:57.331066100;ACC009;RADL3;2;4810;4810;4810;23.89;114910.90;114910.90;114910.90;TRADER590
2025-06-29T16:20:57.331066100;ACC003;SUZB3;1;9777;9777;9777;13.17;128763.09;128763.09;128763.09;TRADER898
2025-06-29T16:20:57.331066100;ACC005;BBAS3;2;1868;1868;1868;19.01;35510.68;35510.68;35510.68;TRADER615
2025-06-29T16:20:57.331066100;ACC008;BBDC4;2;8072;8072;8072;14.93;120514.96;120514.96;120514.96;TRADER464
2025-06-29T16:20:57.331066100;ACC008;SUZB3;1;7768;7768;7768;18.11;140678.48;140678.48;140678.48;TRADER387
2025-06-29T16:20:57.347068600;ACC009;SUZB3;2;7770;7770;7770;25.40;197358.00;197358.00;197358.00;TRADER991
2025-06-29T16:20:57.347068600;ACC006;PETR4;2;5101;5101;5101;15.50;79065.50;79065.50;79065.50;TRADER662
2025-06-29T16:20:57.347068600;ACC005;SUZB3;2;4498;4498;4498;29.27;131656.46;131656.46;131656.46;TRADER571
2025-06-29T16:20:57.347068600;ACC002;RENT3;2;5782;5782;5782;17.66;102110.12;102110.12;102110.12;TRADER703
2025-06-29T16:20:57.347992400;ACC009;VALE3;1;5551;5551;5551;20.28;112574.28;112574.28;112574.28;TRADER142
2025-06-29T16:20:57.347992400;ACC004;VALE3;2;1150;1150;1150;14.89;17123.50;17123.50;17123.50;TRADER691
2025-06-29T16:20:57.347992400;ACC006;ITUB4;2;9613;9613;9613;18.13;174283.69;174283.69;174283.69;TRADER289
2025-06-29T16:20:57.347992400;ACC003;RADL3;2;8838;8838;8838;21.57;190635.66;190635.66;190635.66;TRADER586
2025-06-29T16:20:57.347992400;ACC007;RADL3;2;5533;5533;5533;28.56;158022.48;158022.48;158022.48;TRADER653
2025-06-29T16:20:57.347992400;ACC006;ITUB4;1;1016;1016;1016;19.50;19812.00;19812.00;19812.00;TRADER669
2025-06-29T16:20:57.347992400;ACC001;RENT3;2;7121;7121;7121;14.36;102257.56;102257.56;102257.56;TRADER255
2025-06-29T16:20:57.347992400;ACC004;ABEV3;2;6698;6698;6698;28.26;189285.48;189285.48;189285.48;TRADER533
2025-06-29T16:20:57.348999500;ACC005;ABEV3;1;5693;5693;5693;20.18;114884.74;114884.74;114884.74;TRADER130
2025-06-29T16:20:57.348999500;ACC009;ABEV3;2;2058;2058;2058;20.02;41201.16;41201.16;41201.16;TRADER273
2025-06-29T16:20:57.348999500;ACC002;SUZB3;2;2038;2038;2038;22.13;45100.94;45100.94;45100.94;TRADER221
2025-06-29T16:20:57.348999500;ACC002;RENT3;2;7816;7816;7816;23.89;186724.24;186724.24;186724.24;TRADER743
2025-06-29T16:20:57.348999500;ACC008;VALE3;2;4264;4264;4264;19.64;83744.96;83744.96;83744.96;TRADER646
2025-06-29T16:20:57.348999500;ACC001;ABEV3;2;1988;1988;1988;27.49;54650.12;54650.12;54650.12;TRADER810
2025-06-29T16:20:57.349999600;ACC002;BBAS3;2;4125;4125;4125;28.25;116531.25;116531.25;116531.25;TRADER700
2025-06-29T16:20:57.349999600;ACC008;VALE3;2;1875;1875;1875;24.68;46275.00;46275.00;46275.00;TRADER821
2025-06-29T16:20:57.349999600;ACC004;SUZB3;2;8642;8642;8642;23.35;201790.70;201790.70;201790.70;TRADER352
2025-06-29T16:20:57.349999600;ACC001;RENT3;2;8664;8664;8664;13.71;118783.44;118783.44;118783.44;TRADER648
2025-06-29T16:20:57.349999600;ACC002;RENT3;2;6968;6968;6968;28.15;196149.20;196149.20;196149.20;TRADER649
2025-06-29T16:20:57.349999600;ACC007;BBDC4;2;9588;9588;9588;16.11;154462.68;154462.68;154462.68;TRADER182
2025-06-29T16:20:57.349999600;ACC004;WEGE3;2;7314;7314;7314;12.84;93911.76;93911.76;93911.76;TRADER820
2025-06-29T16:20:57.350999600;ACC009;ABEV3;1;3328;3328;3328;18.57;61800.96;61800.96;61800.96;TRADER67
2025-06-29T16:20:57.350999600;ACC009;PETR4;2;2250;2250;2250;25.67;57757.50;57757.50;57757.50;TRADER999
2025-06-29T16:20:57.350999600;ACC001;RENT3;1;4022;4022;4022;11.23;45167.06;45167.06;45167.06;TRADER217
2025-06-29T16:20:57.350999600;ACC010;PETR4;1;5667;5667;5667;18.40;104272.80;104272.80;104272.80;TRADER986
2025-06-29T16:20:57.350999600;ACC010;RADL3;2;9766;9766;9766;22.76;222274.16;222274.16;222274.16;TRADER922
2025-06-29T16:20:57.350999600;ACC010;SUZB3;1;8170;8170;8170;28.48;232681.60;232681.60;232681.60;TRADER122
2025-06-29T16:20:57.350999600;ACC006;SUZB3;2;4951;4951;4951;24.92;123378.92;123378.92;123378.92;TRADER173
2025-06-29T16:20:57.350999600;ACC009;BBAS3;1;3770;3770;3770;27.11;102204.70;102204.70;102204.70;TRADER899
2025-06-29T16:20:57.352004;ACC004;VALE3;2;4982;4982;4982;11.92;59385.44;59385.44;59385.44;TRADER716
2025-06-29T16:20:57.352004;ACC006;VALE3;1;6890;6890;6890;21.04;144965.60;144965.60;144965.60;TRADER319
2025-06-29T16:20:57.352004;ACC009;BBDC4;1;8986;8986;8986;29.03;260863.58;260863.58;260863.58;TRADER219
2025-06-29T16:20:57.352004;ACC004;SUZB3;1;6397;6397;6397;28.20;180395.40;180395.40;180395.40;TRADER79
2025-06-29T16:20:57.352004;ACC002;BBDC4;2;2471;2471;2471;15.03;37139.13;37139.13;37139.13;TRADER114
2025-06-29T16:20:57.352004;ACC004;VALE3;1;6631;6631;6631;10.93;72476.83;72476.83;72476.83;TRADER336
2025-06-29T16:20:57.352004;ACC001;BBAS3;1;3178;3178;3178;28.70;91208.60;91208.60;91208.60;TRADER475
2025-06-29T16:20:57.353002400;ACC005;ITUB4;2;8844;8844;8844;14.32;126646.08;126646.08;126646.08;TRADER627
2025-06-29T16:20:57.353002400;ACC007;ITUB4;2;8487;8487;8487;14.41;122297.67;122297.67;122297.67;TRADER863
2025-06-29T16:20:57.353002400;ACC005;WEGE3;2;4030;4030;4030;17.21;69356.30;69356.30;69356.30;TRADER805
2025-06-29T16:20:57.353002400;ACC010;BBAS3;2;3977;3977;3977;19.70;78346.90;78346.90;78346.90;TRADER225
2025-06-29T16:20:57.353002400;ACC001;RENT3;1;1694;1694;1694;27.55;46669.70;46669.70;46669.70;TRADER126
2025-06-29T16:20:57.353002400;ACC010;PETR4;2;9446;9446;9446;22.62;213668.52;213668.52;213668.52;TRADER710
2025-06-29T16:20:57.353002400;ACC007;BBDC4;1;4187;4187;4187;17.47;73146.89;73146.89;73146.89;TRADER813
2025-06-29T16:20:57.353002400;ACC005;BBDC4;2;9095;9095;9095;14.13;128512.35;128512.35;128512.35;TRADER602
2025-06-29T16:20:57.353999600;ACC008;WEGE3;1;5034;5034;5034;27.18;136824.12;136824.12;136824.12;TRADER907
2025-06-29T16:20:57.353999600;ACC009;BBAS3;1;6003;6003;6003;26.01;156138.03;156138.03;156138.03;TRADER190
2025-06-29T16:20:57.353999600;ACC006;BBDC4;2;3109;3109;3109;11.22;34882.98;34882.98;34882.98;TRADER947
2025-06-29T16:20:57.353999600;ACC004;WEGE3;2;5815;5815;5815;12.91;75071.65;75071.65;75071.65;TRADER79
2025-06-29T16:20:57.353999600;ACC010;SUZB3;2;2624;2624;2624;18.33;48097.92;48097.92;48097.92;TRADER825
2025-06-29T16:20:57.353999600;ACC001;VALE3;2;3778;3778;3778;15.88;59994.64;59994.64;59994.64;TRADER931
2025-06-29T16:20:57.355000800;ACC001;RENT3;1;1458;1458;1458;29.44;42923.52;42923.52;42923.52;TRADER277
2025-06-29T16:20:57.355000800;ACC006;VALE3;2;5955;5955;5955;11.80;70269.00;70269.00;70269.00;TRADER781
2025-06-29T16:20:57.355000800;ACC002;VALE3;2;9212;9212;9212;15.54;143154.48;143154.48;143154.48;TRADER269
2025-06-29T16:20:57.355000800;ACC003;BBAS3;2;2814;2814;2814;23.46;66016.44;66016.44;66016.44;TRADER236
2025-06-29T16:20:57.355000800;ACC007;WEGE3;1;8259;8259;8259;12.67;104641.53;104641.53;104641.53;TRADER736
2025-06-29T16:20:57.355000800;ACC009;WEGE3;1;6880;6880;6880;28.05;192984.00;192984.00;192984.00;TRADER808
2025-06-29T16:20:57.355000800;ACC009;RADL3;1;8743;8743;8743;16.98;148456.14;148456.14;148456.14;TRADER26
2025-06-29T16:20:57.355000800;ACC010;SUZB3;2;2466;2466;2466;18.55;45744.30;45744.30;45744.30;TRADER332
2025-06-29T16:20:57.355999;ACC004;RENT3;1;4756;4756;4756;13.50;64206.00;64206.00;64206.00;TRADER174
2025-06-29T16:20:57.355999;ACC008;RADL3;1;5540;5540;5540;10.25;56785.00;56785.00;56785.00;TRADER235
2025-06-29T16:20:57.355999;ACC008;RENT3;2;1122;1122;1122;18.77;21059.94;21059.94;21059.94;TRADER999
2025-06-29T16:20:57.355999;ACC009;RENT3;2;1139;1139;1139;16.09;18326.51;18326.51;18326.51;TRADER175
2025-06-29T16:20:57.355999;ACC008;BBAS3;1;2508;2508;2508;14.89;37344.12;37344.12;37344.12;TRADER385
2025-06-29T16:20:57.355999;ACC001;ITUB4;1;7564;7564;7564;18.45;139555.80;139555.80;139555.80;TRADER726
2025-06-29T16:20:57.355999;ACC004;SUZB3;2;4159;4159;4159;14.72;61220.48;61220.48;61220.48;TRADER247
2025-06-29T16:20:57.357002900;ACC007;PETR4;1;6481;6481;6481;17.98;116528.38;116528.38;116528.38;TRADER292
2025-06-29T16:20:57.357002900;ACC008;RADL3;2;9644;9644;9644;14.92;143888.48;143888.48;143888.48;TRADER816
2025-06-29T16:20:57.357002900;ACC005;ABEV3;1;8115;8115;8115;28.28;229492.20;229492.20;229492.20;TRADER331
2025-06-29T16:20:57.357002900;ACC005;BBAS3;2;6149;6149;6149;19.20;118060.80;118060.80;118060.80;TRADER63
2025-06-29T16:20:57.357002900;ACC001;VALE3;2;5443;5443;5443;26.42;143804.06;143804.06;143804.06;TRADER57
2025-06-29T16:20:57.357002900;ACC005;RADL3;1;1127;1127;1127;25.51;28749.77;28749.77;28749.77;TRADER839
2025-06-29T16:20:57.357002900;ACC001;ABEV3;1;5933;5933;5933;14.11;83714.63;83714.63;83714.63;TRADER773
2025-06-29T16:20:57.357002900;ACC009;SUZB3;2;2927;2927;2927;23.71;69399.17;69399.17;69399.17;TRADER72
2025-06-29T16:20:57.357002900;ACC002;ITUB4;1;8602;8602;8602;22.53;193803.06;193803.06;193803.06;TRADER295
2025-06-29T16:20:57.357002900;ACC003;ABEV3;1;3525;3525;3525;10.39;36624.75;36624.75;36624.75;TRADER813
2025-06-29T16:20:57.358003700;ACC003;ABEV3;2;7570;7570;7570;25.00;189250.00;189250.00;189250.00;TRADER703
2025-06-29T16:20:57.358003700;ACC009;SUZB3;1;4890;4890;4890;14.73;72029.70;72029.70;72029.70;TRADER757
2025-06-29T16:20:57.358003700;ACC007;SUZB3;1;1517;1517;1517;10.41;15791.97;15791.97;15791.97;TRADER51
2025-06-29T16:20:57.358003700;ACC003;PETR4;1;1804;1804;1804;11.47;20691.88;20691.88;20691.88;TRADER406
2025-06-29T16:20:57.358003700;ACC001;WEGE3;1;4486;4486;4486;15.91;71372.26;71372.26;71372.26;TRADER589
2025-06-29T16:20:57.358003700;ACC008;RENT3;1;4033;4033;4033;21.71;87556.43;87556.43;87556.43;TRADER886
2025-06-29T16:20:57.358003700;ACC010;ITUB4;2;6619;6619;6619;10.29;68109.51;68109.51;68109.51;TRADER310
2025-06-29T16:20:57.358003700;ACC006;SUZB3;1;1141;1141;1141;28.79;32849.39;32849.39;32849.39;TRADER257
2025-06-29T16:20:57.358003700;ACC002;WEGE3;2;7854;7854;7854;26.13;205225.02;205225.02;205225.02;TRADER426
2025-06-29T16:20:57.358003700;ACC005;WEGE3;2;3719;3719;3719;19.15;71218.85;71218.85;71218.85;TRADER139
2025-06-29T16:20:57.358003700;ACC004;ITUB4;2;1678;1678;1678;19.75;33140.50;33140.50;33140.50;TRADER394
2025-06-29T16:20:57.358003700;ACC009;WEGE3;2;4718;4718;4718;23.86;112571.48;112571.48;112571.48;TRADER27
2025-06-29T16:20:57.358003700;ACC010;WEGE3;2;6916;6916;6916;20.21;139772.36;139772.36;139772.36;TRADER454
2025-06-29T16:20:57.358003700;ACC002;SUZB3;2;6825;6825;6825;14.17;96710.25;96710.25;96710.25;TRADER853
2025-06-29T16:20:57.358003700;ACC010;BBDC4;1;4396;4396;4396;20.38;89590.48;89590.48;89590.48;TRADER673
2025-06-29T16:20:57.358003700;ACC004;BBAS3;2;5722;5722;5722;17.49;100077.78;100077.78;100077.78;TRADER65
2025-06-29T16:20:57.358003700;ACC008;VALE3;1;9132;9132;9132;23.70;216428.40;216428.40;216428.40;TRADER114
2025-06-29T16:20:57.358003700;ACC010;RENT3;2;6821;6821;6821;26.44;180347.24;180347.24;180347.24;TRADER31
2025-06-29T16:20:57.358003700;ACC002;WEGE3;2;5865;5865;5865;19.67;115364.55;115364.55;115364.55;TRADER139
2025-06-29T16:20:57.358003700;ACC004;ITUB4;1;9563;9563;9563;19.89;190208.07;190208.07;190208.07;TRADER884
2025-06-29T16:20:57.358003700;ACC002;BBDC4;1;8488;8488;8488;28.86;244963.68;244963.68;244963.68;TRADER219
2025-06-29T16:20:57.358003700;ACC007;VALE3;1;9258;9258;9258;25.90;239782.20;239782.20;239782.20;TRADER994
2025-06-29T16:20:57.358003700;ACC001;ITUB4;1;8615;8615;8615;18.83;162220.45;162220.45;162220.45;TRADER435
2025-06-29T16:20:57.358003700;ACC001;WEGE3;2;2056;2056;2056;11.91;24486.96;24486.96;24486.96;TRADER591
2025-06-29T16:20:57.358003700;ACC003;PETR4;2;9966;9966;9966;23.91;238287.06;238287.06;238287.06;TRADER943
2025-06-29T16:20:57.358003700;ACC003;SUZB3;1;1204;1204;1204;18.72;22538.88;22538.88;22538.88;TRADER230
2025-06-29T16:20:57.358003700;ACC006;RENT3;2;1159;1159;1159;11.53;13363.27;13363.27;13363.27;TRADER719
2025-06-29T16:20:57.358003700;ACC006;PETR4;2;5392;5392;5392;13.49;72738.08;72738.08;72738.08;TRADER179
2025-06-29T16:20:57.358003700;ACC007;ITUB4;2;7066;7066;7066;24.24;171279.84;171279.84;171279.84;TRADER103
2025-06-29T16:20:57.358003700;ACC002;PETR4;1;1900;1900;1900;14.55;27645.00;27645.00;27645.00;TRADER820
2025-06-29T16:20:57.358003700;ACC010;BBDC4;1;8657;8657;8657;26.92;233046.44;233046.44;233046.44;TRADER282
2025-06-29T16:20:57.358003700;ACC006;ITUB4;2;1065;1065;1065;18.93;20160.45;20160.45;20160.45;TRADER514
2025-06-29T16:20:57.358003700;ACC008;ABEV3;1;6781;6781;6781;15.26;103478.06;103478.06;103478.06;TRADER827
2025-06-29T16:20:57.358003700;ACC001;ITUB4;2;8859;8859;8859;19.34;171333.06;171333.06;171333.06;TRADER280
2025-06-29T16:20:57.358003700;ACC007;SUZB3;1;2838;2838;2838;29.98;85083.24;85083.24;85083.24;TRADER48
2025-06-29T16:20:57.358003700;ACC003;PETR4;1;2334;2334;2334;21.83;50951.22;50951.22;50951.22;TRADER658
2025-06-29T16:20:57.358003700;ACC001;WEGE3;2;1853;1853;1853;23.58;43693.74;43693.74;43693.74;TRADER659
2025-06-29T16:20:57.358003700;ACC001;RENT3;2;6889;6889;6889;25.20;173602.80;173602.80;173602.80;TRADER5
2025-06-29T16:20:57.358003700;ACC004;SUZB3;2;8806;8806;8806;29.29;257927.74;257927.74;257927.74;TRADER301
2025-06-29T16:20:57.358003700;ACC004;WEGE3;1;8556;8556;8556;28.70;245557.20;245557.20;245557.20;TRADER456
2025-06-29T16:20:57.358003700;ACC002;SUZB3;2;2871;2871;2871;25.66;73669.86;73669.86;73669.86;TRADER856
2025-06-29T16:20:57.358003700;ACC005;BBDC4;2;8742;8742;8742;29.95;261822.90;261822.90;261822.90;TRADER482
2025-06-29T16:20:57.358003700;ACC002;BBDC4;1;3421;3421;3421;28.59;97806.39;97806.39;97806.39;TRADER626
2025-06-29T16:20:57.358003700;ACC009;ITUB4;2;9480;9480;9480;12.82;121533.60;121533.60;121533.60;TRADER958
2025-06-29T16:20:57.358003700;ACC009;RENT3;1;4512;4512;4512;10.57;47691.84;47691.84;47691.84;TRADER599
2025-06-29T16:20:57.358003700;ACC004;ABEV3;2;3108;3108;3108;19.06;59238.48;59238.48;59238.48;TRADER616
2025-06-29T16:20:57.358003700;ACC003;PETR4;2;6839;6839;6839;23.71;162152.69;162152.69;162152.69;TRADER477
2025-06-29T16:20:57.358003700;ACC010;RADL3;1;3320;3320;3320;25.87;85888.40;85888.40;85888.40;TRADER143
2025-06-29T16:20:57.358003700;ACC006;PETR4;2;1530;1530;1530;12.97;19844.10;19844.10;19844.10;TRADER454
2025-06-29T16:20:57.358003700;ACC004;SUZB3;1;7103;7103;7103;25.37;180203.11;180203.11;180203.11;TRADER101
2025-06-29T16:20:57.358003700;ACC010;VALE3;1;8996;8996;8996;17.12;154011.52;154011.52;154011.52;TRADER147
2025-06-29T16:20:57.358003700;ACC008;ABEV3;1;1875;1875;1875;18.26;34237.50;34237.50;34237.50;TRADER286
2025-06-29T16:20:57.358003700;ACC002;ABEV3;2;9154;9154;9154;15.27;139781.58;139781.58;139781.58;TRADER309
2025-06-29T16:20:57.358003700;ACC001;BBDC4;2;6938;6938;6938;10.07;69865.66;69865.66;69865.66;TRADER395
2025-06-29T16:20:57.358003700;ACC004;ABEV3;2;6294;6294;6294;12.99;81759.06;81759.06;81759.06;TRADER277
2025-06-29T16:20:57.358003700;ACC001;WEGE3;2;2654;2654;2654;19.01;50452.54;50452.54;50452.54;TRADER494
2025-06-29T16:20:57.358003700;ACC009;ITUB4;1;5078;5078;5078;29.08;147668.24;147668.24;147668.24;TRADER323
2025-06-29T16:20:57.358003700;ACC004;BBDC4;1;2142;2142;2142;11.94;25575.48;25575.48;25575.48;TRADER922
2025-06-29T16:20:57.358003700;ACC002;ABEV3;2;4735;4735;4735;26.64;126140.40;126140.40;126140.40;TRADER284
2025-06-29T16:20:57.358003700;ACC008;ITUB4;2;9933;9933;9933;18.92;187932.36;187932.36;187932.36;TRADER347
2025-06-29T16:20:57.358003700;ACC009;ITUB4;1;4547;4547;4547;15.96;72570.12;72570.12;72570.12;TRADER547
2025-06-29T16:20:57.358003700;ACC010;WEGE3;2;5809;5809;5809;10.93;63492.37;63492.37;63492.37;TRADER910
2025-06-29T16:20:57.358003700;ACC004;RADL3;1;1375;1375;1375;12.13;16678.75;16678.75;16678.75;TRADER658
2025-06-29T16:20:57.358003700;ACC004;RADL3;1;1427;1427;1427;27.36;39042.72;39042.72;39042.72;TRADER592
2025-06-29T16:20:57.358003700;ACC010;ITUB4;2;2629;2629;2629;12.08;31758.32;31758.32;31758.32;TRADER369
2025-06-29T16:20:57.358003700;ACC001;RENT3;1;2401;2401;2401;23.09;55439.09;55439.09;55439.09;TRADER761
2025-06-29T16:20:57.358003700;ACC003;BBDC4;2;8274;8274;8274;16.66;137844.84;137844.84;137844.84;TRADER934
2025-06-29T16:20:57.358003700;ACC001;WEGE3;2;2911;2911;2911;10.95;31875.45;31875.45;31875.45;TRADER129
2025-06-29T16:20:57.358003700;ACC006;VALE3;2;9648;9648;9648;28.51;275064.48;275064.48;275064.48;TRADER566
2025-06-29T16:20:57.358003700;ACC010;SUZB3;1;3396;3396;3396;24.15;82013.40;82013.40;82013.40;TRADER160
2025-06-29T16:20:57.358003700;ACC004;BBAS3;2;9336;9336;9336;11.76;109791.36;109791.36;109791.36;TRADER596
2025-06-29T16:20:57.358003700;ACC003;RENT3;2;5284;5284;5284;15.39;81320.76;81320.76;81320.76;TRADER439
2025-06-29T16:20:57.365477800;ACC008;PETR4;2;1308;1308;1308;15.32;20038.56;20038.56;20038.56;TRADER76
2025-06-29T16:20:57.365477800;ACC002;ABEV3;2;5910;5910;5910;11.77;69560.70;69560.70;69560.70;TRADER580
2025-06-29T16:20:57.365477800;ACC007;BBDC4;1;2981;2981;2981;20.20;60216.20;60216.20;60216.20;TRADER631
2025-06-29T16:20:57.365477800;ACC008;SUZB3;1;3004;3004;3004;28.62;85974.48;85974.48;85974.48;TRADER35
2025-06-29T16:20:57.365477800;ACC007;PETR4;2;4070;4070;4070;10.04;40862.80;40862.80;40862.80;TRADER543
2025-06-29T16:20:57.365937700;ACC002;ITUB4;1;1894;1894;1894;15.69;29716.86;29716.86;29716.86;TRADER23
2025-06-29T16:20:57.365937700;ACC007;RADL3;2;2504;2504;2504;20.13;50405.52;50405.52;50405.52;TRADER403
2025-06-29T16:20:57.365937700;ACC004;BBDC4;1;9993;9993;9993;29.75;297291.75;297291.75;297291.75;TRADER115
2025-06-29T16:20:57.365937700;ACC005;PETR4;2;8522;8522;8522;15.44;131579.68;131579.68;131579.68;TRADER946
2025-06-29T16:20:57.365937700;ACC007;VALE3;1;8572;8572;8572;21.40;183440.80;183440.80;183440.80;TRADER631
2025-06-29T16:20:57.365937700;ACC005;RADL3;2;1064;1064;1064;29.26;31132.64;31132.64;31132.64;TRADER35
2025-06-29T16:20:57.365937700;ACC007;BBDC4;2;1616;1616;1616;25.29;40868.64;40868.64;40868.64;TRADER242
2025-06-29T16:20:57.365937700;ACC006;SUZB3;2;3877;3877;3877;14.20;55053.40;55053.40;55053.40;TRADER66
2025-06-29T16:20:57.365937700;ACC004;RENT3;2;9395;9395;9395;16.29;153044.55;153044.55;153044.55;TRADER784
2025-06-29T16:20:57.365937700;ACC007;WEGE3;2;4690;4690;4690;22.26;104399.40;104399.40;104399.40;TRADER692
2025-06-29T16:20:57.365937700;ACC008;RENT3;2;6939;6939;6939;28.52;197900.28;197900.28;197900.28;TRADER467
2025-06-29T16:20:57.365937700;ACC006;ABEV3;2;1711;1711;1711;14.48;24775.28;24775.28;24775.28;TRADER738
2025-06-29T16:20:57.365937700;ACC004;ITUB4;1;2495;2495;2495;16.20;40419.00;40419.00;40419.00;TRADER794
2025-06-29T16:20:57.365937700;ACC009;WEGE3;2;6303;6303;6303;14.19;89439.57;89439.57;89439.57;TRADER276
2025-06-29T16:20:57.365937700;ACC003;BBDC4;1;2698;2698;2698;23.51;63429.98;63429.98;63429.98;TRADER645
2025-06-29T16:20:57.365937700;ACC008;SUZB3;1;2549;2549;2549;15.67;39942.83;39942.83;39942.83;TRADER363
2025-06-29T16:20:57.365937700;ACC010;SUZB3;1;3954;3954;3954;11.28;44601.12;44601.12;44601.12;TRADER905
2025-06-29T16:20:57.365937700;ACC007;ABEV3;2;4729;4729;4729;25.52;120684.08;120684.08;120684.08;TRADER546
2025-06-29T16:20:57.365937700;ACC001;WEGE3;1;8463;8463;8463;20.09;170021.67;170021.67;170021.67;TRADER826
2025-06-29T16:20:57.365937700;ACC010;ABEV3;2;2357;2357;2357;23.32;54965.24;54965.24;54965.24;TRADER670
2025-06-29T16:20:57.365937700;ACC010;ABEV3;1;3377;3377;3377;27.75;93711.75;93711.75;93711.75;TRADER747
2025-06-29T16:20:57.365937700;ACC001;VALE3;1;7573;7573;7573;25.16;190536.68;190536.68;190536.68;TRADER259
2025-06-29T16:20:57.365937700;ACC005;WEGE3;1;7787;7787;7787;16.11;125448.57;125448.57;125448.57;TRADER176
2025-06-29T16:20:57.365937700;ACC006;ITUB4;2;6283;6283;6283;10.60;66599.80;66599.80;66599.80;TRADER432
2025-06-29T16:20:57.365937700;ACC005;WEGE3;2;2478;2478;2478;21.19;52508.82;52508.82;52508.82;TRADER981
2025-06-29T16:20:57.365937700;ACC009;VALE3;1;5868;5868;5868;25.24;148108.32;148108.32;148108.32;TRADER254
2025-06-29T16:20:57.365937700;ACC007;WEGE3;2;5609;5609;5609;28.57;160249.13;160249.13;160249.13;TRADER722
